City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
610,Ajdabiya,LY,67.3,clear sky,30.7554,20.2263,Almadina Hotel
612,Presidente Olegario,BR,74.89,clear sky,-18.4178,-46.4181,Cruzeiro Hotel
613,Kampot,KH,78.85,overcast clouds,10.6167,104.1833,Two Moons Hotel
614,Hervey Bay,AU,65.01,light rain,-25.2986,152.8535,Shelly Bay Resort
617,Santa Marinella,IT,76.73,clear sky,42.0345,11.8536,"VILLA GREGORACI - b & b, guest houses, Santa Marinella"
618,Acarau,BR,82.87,broken clouds,-2.8856,-40.12,castelo pizzaria
619,Jimo,CN,69.58,clear sky,36.3897,120.4622,Thank Inn Chain Hotel Shandong Jimo Bus Station
620,Nishihara,JP,74.48,broken clouds,26.1842,127.7558,Minshuku Agaihama
624,Cockburn Town,TC,79.59,few clouds,21.4612,-71.1419,Osprey Beach Hotel
627,Itambe,BR,82.0,clear sky,-15.245,-40.6244,Pousada San Remo
629,Auki,SB,77.07,few clouds,-8.7676,160.7034,Auki Motel
632,Stephenville,US,72.75,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
633,Puerto Penasco,MX,73.9,scattered clouds,31.3167,-113.5333,Playa Bonita Resort
634,Vikindu,TZ,72.81,broken clouds,-7.0067,39.2985,RUTA GUEST HOUSE
637,Pakxan,LA,74.41,light rain,18.3778,103.6601,Kong Kham Pheng Guesthouse
639,Fayaoue,NC,76.8,few clouds,-20.65,166.5333,Chez Dydyce Guesthouse
640,San Lorenzo,PY,72.54,few clouds,-25.3333,-57.5333,Canarias Hotel
643,Angoche,MZ,77.23,clear sky,-16.2325,39.9086,Guest House HESADA
644,Bubaque,GW,78.39,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
647,Buin,CL,71.87,overcast clouds,-33.7333,-70.75,Paihuen
649,Male,MV,83.43,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
650,Port Hedland,AU,78.85,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
651,Flagstaff,US,72.05,clear sky,35.1981,-111.6513,Drury Inn & Suites Flagstaff
652,Tecpan,GT,72.9,overcast clouds,14.7623,-90.9947,Villa San Ricardo
653,Myitkyina,MM,72.95,scattered clouds,25.3833,97.4,Shwe Phyu Hotel
654,Altus,US,70.36,clear sky,34.6381,-99.334,"Holiday Inn Express & Suites Altus, an IHG Hotel"
655,Madang,PG,77.09,scattered clouds,-5.2246,145.7966,Comfort Inn Hotel
656,Los Llanos De Aridane,ES,67.75,broken clouds,28.6585,-17.9182,Valle Aridane
657,Guarapari,BR,73.22,few clouds,-20.6667,-40.4975,Hotel Porto do Sol
659,Maibong,IN,70.56,few clouds,25.3,93.1667,Juhi Cottage Maibang
660,Hobyo,SO,80.67,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
662,Dickinson,US,84.0,broken clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
663,Gamba,GA,74.91,scattered clouds,-2.65,10.0,
664,Acajutla,SV,84.63,overcast clouds,13.5928,-89.8275,Laureles
665,Boyolangu,ID,75.18,broken clouds,-8.1181,111.8935,Yos ega cv
667,Nieuw Amsterdam,SR,80.62,thunderstorm with light rain,5.8833,-55.0833,Hotel Stardust
668,Jalu,LY,79.63,clear sky,29.0331,21.5482,صاحبة الفخامة
671,Sao Geraldo Do Araguaia,BR,82.49,scattered clouds,-6.4006,-48.555,Hotel Por do Sol
673,Umm Lajj,SA,81.07,clear sky,25.0213,37.2685,Moon light Furnished Units
676,Sambava,MG,74.41,broken clouds,-14.2667,50.1667,Melrose
677,Banda Aceh,ID,81.19,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
