City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
267,Honningsvag,NO,70.9821,25.9704,46.15,76,54,3.44,broken clouds
268,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.94,65,9,9.6,clear sky
269,Sunbury,AU,-37.5833,144.7333,48.49,94,75,1.14,broken clouds
270,Yuli,NG,9.6989,10.2744,90.12,41,55,4.32,broken clouds
271,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,39.22,95,100,2.08,overcast clouds
272,Westport,US,41.1415,-73.3579,93.27,58,0,11.5,clear sky
273,Port-Gentil,GA,-0.7193,8.7815,78.76,83,75,12.66,broken clouds
274,Shestakovo,RU,56.4915,103.96,44.46,90,95,5.14,overcast clouds
275,Ambilobe,MG,-13.2,49.05,74.52,72,62,5.06,broken clouds
276,Ahipara,NZ,-35.1667,173.1667,59.11,76,98,10.85,overcast clouds
277,Guerrero Negro,MX,27.9769,-114.0611,66.76,59,0,13.62,clear sky
278,Homer,US,59.6425,-151.5483,56.77,66,75,1.01,broken clouds
279,Kinablangan,PH,7.6947,126.5503,77.99,85,51,4.23,broken clouds
280,Yinchuan,CN,38.4681,106.2731,66.34,49,43,1.5,scattered clouds
281,Touros,BR,-5.1989,-35.4608,82.4,73,36,14.72,scattered clouds
282,Cabedelo,BR,-6.9811,-34.8339,80.22,80,42,19.71,light rain
283,Chartres,FR,48.4167,1.5,69.17,69,100,5.99,overcast clouds
284,Rumoi,JP,43.9344,141.6428,55.4,95,100,4.79,light rain
285,Xuanhua,CN,40.6103,115.0447,65.68,52,84,1.36,broken clouds
286,Kavieng,PG,-2.5744,150.7967,82.58,68,57,16.82,broken clouds
287,Rincon,US,32.296,-81.2354,86.86,77,75,9.22,thunderstorm
288,Port-Cartier,CA,50.0334,-66.8654,55.74,76,91,5.64,overcast clouds
289,Soyo,AO,-6.1349,12.3689,76.71,77,63,9.64,broken clouds
290,Skerries,IE,53.5828,-6.1083,59.5,76,82,12.06,broken clouds
291,Hofn,IS,64.2539,-15.2082,53.62,54,75,20.71,broken clouds
292,Axim,GH,4.8699,-2.2405,76.59,86,100,5.14,overcast clouds
293,Bengkulu,ID,-3.8004,102.2655,76.77,89,85,3.24,light rain
294,Tual,ID,-5.6667,132.75,83.07,76,23,13.89,few clouds
295,Catamarca,AR,-28.4696,-65.7852,80.58,33,0,4.0,clear sky
296,Marau,BR,-28.4492,-52.2,61.74,66,100,3.51,overcast clouds
297,Bilibino,RU,68.0546,166.4372,41.86,73,90,3.4,overcast clouds
298,Nieuwpoort,BE,51.1244,2.7735,72.18,70,75,5.75,broken clouds
299,Terekli-Mekteb,RU,44.1671,45.8698,70.12,45,0,6.02,clear sky
300,Sitka,US,57.0531,-135.33,51.69,76,40,6.91,scattered clouds
301,Saint-Georges,GD,12.0564,-61.7485,82.2,67,33,15.12,scattered clouds
302,Asyut,EG,27.181,31.1837,79.47,17,0,11.88,clear sky
303,Khandyga,RU,62.6667,135.6,36.1,81,16,1.25,few clouds
304,Makat,KZ,47.6469,53.3463,62.46,67,100,20.09,overcast clouds
305,Pietarsaari,FI,63.65,22.6833,55.47,66,98,9.73,overcast clouds
306,Sioux Lookout,CA,50.1001,-91.917,51.8,34,75,8.37,broken clouds
307,Haines Junction,CA,60.7522,-137.5108,47.01,49,100,3.36,overcast clouds
308,Uruguaiana,BR,-29.7547,-57.0883,69.73,56,20,3.44,few clouds
309,Tuy Hoa,VN,13.0833,109.3,78.73,82,99,11.41,overcast clouds
310,Emba,KZ,48.8264,58.1442,55.42,75,100,23.96,light rain
311,Tashir,AM,41.1207,44.2846,49.62,70,8,6.02,clear sky
312,Itarema,BR,-2.9248,-39.9167,82.87,77,58,8.23,broken clouds
313,Ilulissat,GL,69.2167,-51.1,35.62,93,75,5.75,light rain and snow
314,Kokrajhar,IN,26.399,90.2718,74.77,90,94,4.74,overcast clouds
315,North Bend,US,43.4065,-124.2243,63.25,91,0,9.22,clear sky
316,Newport,GB,51.5877,-2.9984,66.16,67,95,8.08,overcast clouds
317,Maple Grove,US,45.0725,-93.4558,55.76,40,100,9.22,overcast clouds
318,Palmer,US,42.1584,-72.3287,91.47,55,43,8.01,scattered clouds
